,Crop,ScientificName,Symbol,NuContAvailable,PlantPartHarvested,CropCategory,YieldUnit,AvYieldUnitWeight(lb),AvMoisture%,AvN%(dry),AvP%(dry),AvK%(dry),YieldUnitWeight(lb)_set,DryMatter%_NAS,AvDryMatter%,N%(dry)_NAS,Protein%(dry)_NAS,,N
0,Acorn,Quercus sp.,QUERC,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,27.9,1.364771151,0.109570042,0.747572816,1,63.57021505,72.1,2.141487225,13.38627753,,0
1,"Alfalfa + Orchardgrass, for hay","Medicago sativa, Dactylis glomerata","MESA, DAGL","N,P",Aboveground biomass,Forage,ton,2000,9.7,2.479714286,0.267857143,#DIV/0!,"2,000",91.2,90.3,2.592,16.2,,0
2,"Alfalfa + Orchardgrass, for hay (cut 1)","Medicago sativa, Dactylis glomerata","MESA, DAGL","N,P,K",Aboveground biomass,Forage,ton,2000,7.95,2.144,0.2,1.49,"2,000",92.9,92.05,1.696,10.6,,0
3,"Alfalfa + Smooth Brome, for green chop","Medicago sativa, Bromus inermis","MESA, BRIN2","N,P,K",Aboveground biomass,Forage,ton,2000,77.63,3.322074074,0.310555556,2.8,"2,000",21.6,22.37,3.136,19.6,,0
4,"Alfalfa + Smooth Brome, for hay","Medicago sativa, Bromus inermis","MESA, BRIN2","N,P,K",Aboveground biomass,Forage,ton,2000,11.58,2.41770852,0.271053812,1.897746637,"2,000",82.5,88.42,2.592,16.2,,0
5,"Alfalfa + Smooth Brome, for hay (cut 1)","Medicago sativa, Bromus inermis","MESA, BRIN2","N,P,K",Aboveground biomass,Forage,ton,2000,10.1,2.192,0.295,1.4,"2,000",89.9,89.9,2.192,13.7,,0
6,"Alfalfa + Smooth Brome, for hay (cut 2)","Medicago sativa, Bromus inermis","MESA, BRIN2","N,P",Aboveground biomass,Forage,ton,2000,10.2,2.192,0.21,#DIV/0!,"2,000",89.8,89.8,2.192,13.7,,0
7,"Alfalfa + Timothy, for green chop (50% alfalfa)","Medicago sativa, Phleum pratense","MESA, PHPR3","N,P,K",Aboveground biomass,Forage,ton,2000,78.08,3.364748858,0.368824201,2.239360731,"2,000",21.9,21.93,3.36,21,,0
8,"Alfalfa + Timothy, for hay","Medicago sativa, Phleum pratense","MESA, PHPR3","N,P,K",Aboveground biomass,Forage,ton,2000,10.37,2.172886905,0.211071429,2.16,"2,000",89,89.63,2.192,13.7,,0
9,"Alfalfa + Timothy, for hay (cut 1)","Medicago sativa, Phleum pratense","MESA, PHPR3","N,P",Aboveground biomass,Forage,ton,2000,9.8,1.792,0.14,#DIV/0!,"2,000",90.2,90.2,1.792,11.2,,0
10,"Alfalfa + Timothy, for hay (cut 2)","Medicago sativa, Phleum pratense","MESA, PHPR3","N,P",Aboveground biomass,Forage,ton,2000,9,2.8,0.21,#DIV/0!,"2,000",91,91,2.8,17.5,,0
11,"Alfalfa, for green chop",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,76.5,3.206196721,0.27897541,2.608032787,"2,000",25.9,23.5,3.504,21.9,,0
12,"Alfalfa, for green chop (early bloom)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,76.18,3.351777778,0.292777778,2.717777778,"2,000",23.9,23.82,3.104,19.4,,0
13,"Alfalfa, for green chop (early bloom, cut 1)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,76.1,2.952,0.31,3.1,"2,000",24.3,23.9,2.928,18.3,,0
14,"Alfalfa, for green chop (early bloom, cut 2)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,74.6,2.864,0.38,2.95,"2,000",25.4,25.4,2.864,17.9,,0
15,"Alfalfa, for green chop (early bloom, cut 3)",Medicago sativa,MESA,N,Aboveground biomass,Forage,ton,2000,74.35,3.288,#DIV/0!,#DIV/0!,"2,000",23,25.65,3.52,22,,0
16,"Alfalfa, for green chop (full bloom)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,75.05,2.796419204,0.270739477,2.890978261,"2,000",24.7,24.95,2.832,17.7,,0
17,"Alfalfa, for green chop (full bloom, cut 1)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,75.3,2.528,0.4,2.88,"2,000",24.7,24.7,2.528,15.8,,0
18,"Alfalfa, for green chop (full bloom, cut 2)",Medicago sativa,MESA,N,Aboveground biomass,Forage,ton,2000,71.4,2.256,#DIV/0!,#DIV/0!,"2,000",26.7,28.6,2.352,14.7,,0
19,"Alfalfa, for green chop (full bloom, cut 3)",Medicago sativa,MESA,N,Aboveground biomass,Forage,ton,2000,71.2,2.208,#DIV/0!,#DIV/0!,"2,000",63.57021505,28.8,2.141487225,13.38627753,,0
20,"Alfalfa, for green chop (mid bloom)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,75.08,3.158580237,0.29166996,2.713478261,"2,000",24.2,24.92,3.264,20.4,,0
21,"Alfalfa, for green chop (mid bloom, cut 1)",Medicago sativa,MESA,N,Aboveground biomass,Forage,ton,2000,77.9,2.496,#DIV/0!,#DIV/0!,"2,000",22.1,22.1,2.496,15.6,,0
22,"Alfalfa, for green chop (mid bloom, cut 2)",Medicago sativa,MESA,"P,K",Aboveground biomass,Forage,ton,2000,76.8,#DIV/0!,0.43,3.25,"2,000",23.2,23.2,2.141487225,13.38627753,,0
23,"Alfalfa, for green chop (pre bloom)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,78.34,3.487117588,0.343919598,2.267952261,"2,000",20.9,21.66,3.392,21.2,,0
